,AGOP,MI score,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PI_XGBoost,PI_xRFM,PI_MLP
word_freq_receive,0.00013092918,0.04949942861409995,-0.1600701731076224,0.011490102866810518,0.16407107316475317,-0.1874815582691387,-0.041353595236524876,-0.09259651925639203,-0.022389703925442782,0.07537197985035467,0.024615813130357524,0.060280308917761156,0.0016566991475472814,-0.018554982590516442,0.028862397340012107,-0.03791988588087962,0.04588502702006732,-0.03274526858771779,0.017767890459916676,-0.03460270236263102,0.12694216535986072,-0.06477519294470672,0.09986142948371302,-0.0848550377244855,0.033973055627112635,-0.022242427325136187,-0.003970442649676749,0.03609802876419583,-0.08373324615377381,-0.09716149819099315,0.005367452680500625,0.02554564372865584,0.013223361727883362,-0.09073802754756022,-0.024094873519126408,-0.06309441214191425,-0.1582020565041055,0.2750395092816934,0.08082230407297929,0.10621332954170894,-0.19568779141372386,-0.0919134838173505,-0.021082410471658958,0.002953426870236755,-0.0896332013977508,0.26377036822170824,-0.057840532524144936,0.06339380910386501,-0.00848692155680524,-0.07208410398938948,-0.0077248678172532476,-0.006562683203825938,0.008158994889877483,0.012722742230175953,-0.0051888269836259,0.0041687231514865655,0.0026996662795712627,0.011504273528354184,1.941417978085777e-05,0.0,-0.000433839479392617,-0.00043383947939259484
word_freq_will,0.00057772256,0.081534815946946,-0.1178079954896416,-0.029461623968751405,0.0856879773714562,-0.1288644035204613,-0.11250601739816363,-0.09630629276774821,-0.016560563772565845,0.1548726560888367,-0.04410425345785733,-0.027135687674361354,-0.014898122387399957,0.3306835420836805,-0.012962632610312068,-0.02833821288197726,0.06358784978826706,-0.06256008735577469,-0.0783365147192094,-0.04151210583628387,0.10595126203147225,-0.05953667721045801,0.044017766184152214,-0.09042371794946494,-0.00899401154027883,0.0049544219191778125,-0.33983604042010634,-0.12299200087880603,-0.08903171336397303,-0.37616805398512687,-0.04147609003606048,0.3963019555298946,-0.04896818759039349,-0.013325916879242847,0.03798129730288135,0.013428206623938285,-0.053372296156838896,-0.11971045403802655,-0.07823709314733518,-0.06275568498511343,-0.07226364450625486,0.03981688224913837,-0.09453766678871511,-0.008493138357565306,0.008579295683221497,-0.0485574791982573,-0.0047957609141688305,-0.019365789204152797,0.012207555935131986,0.008288143327910478,0.00815917597005519,0.010968781661402187,-0.0035130920983994438,0.0010713031452382923,-0.002644980769453296,-0.0019246658436021316,0.0003772015686329953,0.0024060510603782313,6.8727607808812955e-06,0.0017353579175704904,0.00043383947939263924,-0.000867678958785234
word_freq_people,9.835191e-05,0.005188207880523876,-0.08301153885466735,-0.0033422086049309727,0.10948926671960679,-0.14522595675574304,-0.09004757077098437,-0.015961506325928014,-0.03433458845572491,0.050591524163490734,-0.017069939478210863,0.07318328866781237,-0.08588682133044695,0.15438370286622416,0.027963215730207006,-0.290368189038414,0.05284329933597046,0.18243849965256992,-0.17858519496995706,0.08945489286116619,-0.255907834897017,0.4905082099021645,-0.0835202598721336,-0.12470991816182869,0.5244113687295907,0.17636846002683015,0.08796256653711144,0.050954106618101194,-0.1716326941911151,0.053653466639576285,0.027659286126292724,0.07929490897057086,0.03806648368326035,0.029874586328471626,0.010659692545242464,-0.053737550513098496,0.03593155626411994,-0.011264016640209073,0.03646748462589458,-0.016108877381358157,-0.008809167641714901,-0.0019552176967636997,0.0001870069564719698,0.011431496856208482,0.022572437277121174,0.0035423434402480835,-0.02442203891823448,-0.009636738049775447,-0.009592135233650618,-0.02082144605672571,0.003987643027177892,0.00917714226941615,-0.004059613805624964,0.01020044000207845,-0.0029869085701539452,-0.0004071284149671021,-0.012892954033543598,0.0018038876758935435,5.9619756455810675e-06,0.0,-0.0021691973969631072,-0.003470715835141025
word_freq_report,0.00019180361,0.013865351651487279,-0.008439409295430175,0.021184336803535955,0.04579521832222684,0.01701459157180485,-0.011947192929669616,-0.007268561735811027,-0.017909255449123532,0.03233976675553701,-0.012988763179301218,0.03171483945917957,0.0080132206903356,0.03068026662724039,0.00422139866705197,-0.06192801540185462,0.034780347146886714,-0.003950684451724513,0.00808312111034792,-0.0035885709473504083,0.04325181449157778,-0.02952089129588103,0.000193766895308681,-0.026280316730376584,0.058548327164261234,-0.03695454469759406,-0.020704690274822447,0.014404102081030691,-0.03610818320772078,-0.007739345972905277,-0.025373132340171054,-0.012606144425227029,0.013697873530211364,-0.0639396322749513,-0.0036955815622210786,0.006682214796447317,0.041121066322105077,-0.01450867135484867,0.02412805483713914,-0.03351003446453468,0.030922889786625104,-0.04593630031347007,0.013934662434734001,-0.013603341973367163,-0.031153446487368106,0.0002954302247338862,0.0720969540289473,0.009350164574740891,0.05059744152438385,0.0421656463298857,0.05138210174812102,-0.1253976253985706,0.27287022019599305,0.02074738169820956,0.031451581579319675,0.021059567511117695,-0.010058425979636148,0.005819681319719745,2.701826964498098e-05,0.0,0.0,0.0
word_freq_addresses,0.00015952377,0.0,-0.30955270035699606,-0.04743808972503652,0.7339496748397233,-0.5418395464451115,0.06565632353327182,0.6045665120160731,0.03130196605160227,-0.11076105656434077,-0.0515017427512181,-0.21714959686564275,0.04266253210874531,0.039307105992906814,0.04621111117636504,-0.012246356671710873,-0.12790897278233823,0.04393506826581619,0.0851832677783309,-0.06703783040404405,-0.027739504697137336,0.1422812482670105,0.1554661701868658,0.14154110274453402,-0.10034310541706781,0.09430002493616887,-0.014639000228681458,0.08888518619043155,0.21954367999403385,-0.07751033619548775,-0.1251038374970694,0.0038022679041700086,0.15658462021825223,0.08079225744880539,-0.034213525788523116,-0.2682458875119639,0.015096668708915772,-0.022917551437793844,-0.03334309408436596,-0.02460005519725813,0.01909649713656841,0.03757363648556332,-0.029258926133729646,0.02144038540160955,-0.013772044690904548,0.019426540106417457,0.036587176350712965,-0.0055998634194561366,0.007909323862230384,-0.01696367874309811,0.017186646184953698,0.008820051181484226,0.012797336968634427,-0.016947508741056265,-0.003100640413167194,0.0028271287348495358,-0.0014755147957728621,0.01818835095584086,4.6977877871598216e-06,0.0,-0.000433839479392617,-0.000433839479392617
word_freq_free,0.0009161837,0.1665156927066398,-0.14415239746212852,-0.020510923176614917,0.07283020019454854,-0.06580390428713363,-0.11801290706761441,-0.23393570271297884,-0.007524174957905096,0.04326252722914054,-0.056055497827202275,0.005540252814789576,0.10579451305804802,-0.2564111492079918,-0.2748699280738234,0.3609212619123888,0.43151164431763306,0.4826763047252966,0.5593718348885863,-0.2067581187228856,-0.0008730997060833809,0.0909445290066495,0.1576717630812432,0.036455574794147384,0.092909900159923,0.05385656622794781,-0.08046081623613426,-0.013376828669337471,-0.06755150087501496,0.010809952711325671,-0.000631021700221202,0.034963963405060694,-0.0005464364841737077,0.035740187895414166,0.015138992771855764,-0.027164396789160696,0.006229031465661799,-0.009472688087092505,0.014420713354577864,-0.010630846040476765,0.012485519976763663,-0.00508099307060471,0.0014093362994131722,-0.04690210258457715,-0.0009331797578187983,-0.019818882315438723,-0.0007701826000827648,-0.008224811982523594,-0.004536858226839469,0.00675389101888603,0.0037871223839249842,0.0017260736373259662,0.000340458813011367,0.001985294530868387,-0.004675959816276182,-0.0007347600211186121,0.00040900488534725246,-0.0017633131637119148,-4.1079094090694395e-08,0.006507592190889344,0.005639913232104133,0.011279826464208265
word_freq_business,0.00025992774,0.04065453981002465,-0.17446256574916275,0.00683228704282621,0.1395630000866831,-0.11258823423227904,-0.16939278684616635,-0.3090125629834581,-0.046590897927332155,0.20900647668492492,-0.14999909861803135,0.061003263805655975,0.03425024194990584,-0.16719218465797073,0.1420542729623319,0.1034766996242113,0.09563275160817883,-0.2622058373477122,-0.08156744702502873,0.06561626441994675,0.038676739836698996,-0.25506345855154494,0.3167001551176386,-0.12098951081671454,0.05736326228192458,0.3623358998805895,0.3593151405239934,0.11130188017551162,0.10098517666401755,0.040660435786833184,-0.02390055004716549,0.20006417086330838,0.06490561406154144,0.07010553918118484,-0.06925781901251118,0.06432020902099334,0.05700753207996262,-0.06914660948495356,-0.045101247179564215,0.010263417286542993,0.055446356397176676,0.03732615102568675,-0.004496876572550965,-0.04823108917238576,-0.025764075303452642,0.0012923728725113906,-0.011088065628244088,0.016131697983745155,0.0009020848359015341,-0.008627521128755868,0.003320620855163648,-0.0013644158459979678,0.007812323397004243,-0.011289614061024644,-0.013567237866666176,6.788608867491299e-05,-0.0003420343992729468,0.0016025919971233474,1.969742022635216e-06,0.0,0.0013015184381778733,-0.0008676789587852118
word_freq_email,0.00027093096,0.03711777701911645,-0.21994694220431835,-0.0036736443038175937,0.4133689423627193,-0.21455093217855947,-0.04253922286836199,0.04836571223212079,-0.015847574969165893,0.05009596398099366,0.029615449973526227,-0.04376334333484653,-0.048736842591465344,0.008966744752023833,0.08761941439684641,-0.11950956187238375,-0.3183555293768651,0.16077906732512331,0.09012768949940804,0.015115120892287025,-0.041572492184827774,0.2808202555477202,0.26822137436104976,0.04209117947434891,-0.3149111444232536,0.20285957360606902,0.07568701987662017,-0.24913678169341133,-0.2037733019670858,-0.030992074867427763,0.06743592605124829,-0.02625715949769696,-0.17834356307674934,-0.058155527889717964,-0.02474414856695143,0.269496561410364,0.028247808918940607,0.09911582209880458,0.02559358286607083,0.009131938631997473,0.038468215755245755,-0.011285544429118197,0.002674886576689769,0.01630384383100173,0.00226756682786411,-0.025894761549171228,0.001954030744281847,0.008949067592368017,0.006076891746800936,0.029280714500170668,-0.007855158412472859,-0.010503505471565085,0.003050071566140454,-6.59511483074698e-06,0.0035107522551932626,0.004232862704220862,0.003751239921900979,-0.0014688341768817168,-1.3246248065741242e-06,0.002169197396963085,0.0,-0.0021691973969631293
word_freq_you,0.0017535813,0.07598997594738455,-0.3365938848860252,0.35449901972353387,0.07272323272657757,-0.18770514653932943,-0.13232175424704615,-0.2245233549818759,-0.09968570378192237,0.23673499513182183,-0.23836149805117132,0.158458797244885,-0.011877089507663178,-0.10771529166934987,0.07102865561979195,-0.04060500613510767,0.11015829181916909,-0.04181816482152556,-0.2013236009325045,0.15165519699875915,-0.0782317098802678,0.1627491243343686,0.11918755880736061,-0.09976751204508562,-0.30486203295765385,-0.1045143381050574,-0.2234882921723409,0.09458112609176338,-0.057746763419395684,0.20538409598921803,0.07009546615404359,-0.05151382639649837,-0.057127393614330016,0.2546563262409977,-0.03353241106212723,-0.11153189379797414,-0.0845460194859856,-0.1709968922409985,0.09747683911450597,0.033578098974801074,-0.0829566753114357,-0.12448586836805367,0.07002174743241252,-0.005057837356711854,0.01664767421479036,-0.006841113831963709,0.011990336805466496,-0.002554324955955576,-0.0011259413832881867,-0.0019572699558795467,0.016490440908658942,-0.0037096882420195577,0.004020236638547408,0.00840045181402604,-0.001091148172512051,-0.005026110183577001,0.003707561961109022,-0.0013038121053828226,-1.204856020355991e-06,0.006073752711496727,0.0039045553145335976,-0.0026030368763557245
word_freq_credit,0.00034567103,0.048340484926594485,-0.07505546421545471,0.013614469099887925,0.04384127437651835,-0.0632757403740081,-0.05556751070257807,-0.11191749652271672,-0.015102744838643132,0.05341510643302853,-0.005920806693512802,0.04019143800242393,0.031065970025638313,-0.03610372259212486,0.0369036480373413,-0.033759812045454855,0.014071886917210535,-0.07243899321361336,0.017907157486938618,-0.008081677087955782,0.10630783798852762,-0.05710237475009831,0.08609317180930456,-0.05666204122739882,0.0023150345061878027,0.0052935172222835745,0.12317476810352573,0.015790243367319726,-0.06811426199435096,-0.03258082854351234,-0.07177372946122268,0.01900699249300402,-0.015323007210619181,-0.1586286228698326,0.01222245412832251,-0.2219866766834244,-0.10021603926634184,0.20385016084893437,0.06049890028282571,0.08218056394454232,-0.11190719737665082,-0.018560690566896527,0.09230833789100466,0.10858151825519467,0.20336607322698574,-0.258983124514001,0.011021030861979815,-0.012686498316282751,0.00620394276134923,0.049562041006577295,0.0038869969872120545,0.003869613590532129,2.58739658403241e-06,0.013552610663055485,0.0021933634523296037,0.0011849591616624356,0.000939931861452397,-0.0017601343592560043,-9.32788332951553e-07,0.0,0.000433839479392617,0.0004338394793926614
